,Team_Id,Conference,Team_Name.1
109,1210,ACC,Georgia Tech
110,1211,WCC,Gonzaga
111,1212,,Grambling
112,1213,WAC,Grand Canyon
113,1214,MEAC,Hampton
114,1215,,Hardin-Simmons
115,1216,AM East,Hartford
116,1217,Ivy,Harvard
117,1218,Big West,Hawaii
118,1219,Big South,High Point
119,1220,CAA,Hofstra
120,1221,Patriot,Holy Cross
121,1222,AAC,Houston
122,1223,,Houston Bap
123,1224,MEAC,Howard
124,1225,Big Sky,Idaho
125,1226,,Idaho St
126,1227,,IL Chicago
127,1228,Big Ten,Illinois
128,1229,,Illinois St
129,1230,Southland,Incarnate Word
130,1231,Big Ten,Indiana
131,1232,,Indiana St
132,1233,MAAC,Iona
133,1234,Big Ten,Iowa
134,1235,,Iowa St
135,1236,,IPFW
136,1237,Summit,IUPUI
137,1238,,Jackson St
138,1239,A-Sun,Jacksonville
139,1240,,Jacksonville St
140,1241,CAA,James Madison
141,1242,Big 12,Kansas
142,1243,,Kansas St
143,1244,,Kennesaw
144,1245,,Kent
145,1246,SEC,Kentucky
146,1247,A-10,La Salle
147,1248,Patriot,Lafayette
148,1249,Southland,Lamar
149,1250,Patriot,Lehigh
150,1251,Big South,Liberty
151,1252,A-Sun,Lipscomb
152,1253,,Long Beach St
153,1254,NEC,Long Island
154,1255,Big South,Longwood
155,1256,C-USA,Louisiana Tech
156,1257,ACC,Louisville
157,1258,,Loy Marymount
158,1259,,Loyola MD
159,1260,,Loyola-Chicago
160,1261,SEC,LSU
161,1262,,MA Lowell
162,1263,AM East,Maine
163,1264,MAAC,Manhattan
164,1265,MAAC,Marist
165,1266,Big East,Marquette
166,1267,C-USA,Marshall
167,1268,Big Ten,Maryland
168,1269,A-10,Massachusetts
169,1270,,McNeese St
170,1271,,MD E Shore
171,1272,AAC,Memphis
172,1273,SoCon,Mercer
173,1274,,Miami FL
174,1275,,Miami OH
175,1276,Big Ten,Michigan
176,1277,,Michigan St
177,1278,Big Ten,Minnesota
178,1279,,Mississippi
179,1280,,Mississippi St
180,1281,SEC,Missouri
181,1282,,Missouri KC
182,1283,,Missouri St
183,1284,,Monmouth NJ
184,1285,Big Sky,Montana
185,1286,,Montana St
186,1287,,Morehead St
187,1288,,Morgan St
188,1289,,Morris Brown
189,1290,,MS Valley St
190,1291,,Mt St Mary's
191,1292,,MTSU
192,1293,,Murray St
193,1294,,N Colorado
194,1295,,N Dakota St
195,1296,,N Illinois
196,1297,,N Kentucky
197,1298,Patriot,Navy
198,1299,,NC A&T
199,1300,,NC Central
200,1301,ACC,NC State
201,1302,,NE Illinois
202,1303,,NE Omaha
203,1304,Big Ten,Nebraska
204,1305,MWC,Nevada
205,1306,AM East,New Hampshire
206,1307,MWC,New Mexico
207,1308,,New Mexico St
208,1309,Southland,New Orleans
209,1310,MAAC,Niagara
210,1311,,Nicholls St
211,1312,,NJIT
212,1313,,Norfolk St
213,1314,ACC,North Carolina
214,1315,Big Sky,North Dakota
215,1316,A-Sun,North Florida
216,1317,C-USA,North Texas
217,1318,CAA,Northeastern
218,1319,Big Sky,Northern Arizona
219,1320,MVC,Northern Iowa
220,1321,Big Ten,Northwestern
221,1322,,Northwestern LA
222,1323,ACC,Notre Dame
223,1324,Horizon,Oakland
224,1325,MAC,Ohio
225,1326,,Ohio St
226,1327,,Okla City
227,1328,Big 12,Oklahoma
228,1329,,Oklahoma St
229,1330,C-USA,Old Dominion
230,1331,Summit,Oral Roberts
231,1332,Pac-12,Oregon
232,1333,,Oregon St
233,1334,WCC,Pacific
234,1335,,Penn
235,1336,,Penn St
236,1337,WCC,Pepperdine
237,1338,ACC,Pittsburgh
238,1339,WCC,Portland
239,1340,,Portland St
240,1341,,Prairie View
241,1342,Big South,Presbyterian
242,1343,Ivy,Princeton
243,1344,Big East,Providence
244,1345,Big Ten,Purdue
245,1346,MAAC,Quinnipiac
246,1347,Big South,Radford
247,1348,A-10,Rhode Island
248,1349,C-USA,Rice
249,1350,A-10,Richmond
250,1351,MAAC,Rider
251,1352,NEC,Robert Morris
252,1353,Big Ten,Rutgers
253,1354,,S Carolina St
254,1355,,S Dakota St
255,1356,,S Illinois
256,1357,NEC,Sacred Heart
257,1358,,Sam Houston St
258,1359,SoCon,Samford
259,1360,WCC,San Diego
260,1361,,San Diego St
261,1362,WCC,San Francisco
262,1363,,San Jose St
263,1364,,Santa Barbara
264,1365,WCC,Santa Clara
265,1366,,Savannah St
266,1367,,SC Upstate
267,1368,,SE Louisiana
268,1369,,SE Missouri St
269,1370,WAC,Seattle
270,1371,Big East,Seton Hall
271,1372,,SF Austin
272,1373,MAAC,Siena
273,1374,,SMU
274,1375,Sun Belt,South Alabama
275,1376,SEC,South Carolina
276,1377,Summit,South Dakota
277,1378,AAC,South Florida
278,1379,,Southern Miss
279,1380,,Southern Univ
280,1381,Big Sky,Southern Utah
281,1382,,St Bonaventure
282,1383,,St Francis NY
283,1384,,St Francis PA
284,1385,,St John's
285,1386,,St Joseph's PA
286,1387,,St Louis
287,1388,,St Mary's CA
288,1389,,St Peter's
289,1390,Pac-12,Stanford
290,1391,A-Sun,Stetson
291,1392,AM East,Stony Brook
292,1393,ACC,Syracuse
293,1394,,TAM C. Christi
294,1395,,TCU
295,1396,AAC,Temple
296,1397,SEC,Tennessee
297,1398,,Tennessee St
298,1399,OVC,Tennessee Tech
299,1400,Big 12,Texas
300,1401,SEC,Texas A&M
301,1402,,Texas St
302,1403,Big 12,Texas Tech
303,1404,,TN Martin
304,1405,MAC,Toledo
305,1406,CAA,Towson
306,1407,Sun Belt,Troy
307,1408,AAC,Tulane
308,1409,AAC,Tulsa
309,1410,,UTRGV
310,1411,,TX Southern
311,1412,C-USA,UAB
312,1413,Big West,UC Davis
313,1414,Big West,UC Irvine
314,1415,Big West,UC Riverside
315,1416,AAC,UCF
316,1417,Pac-12,UCLA
317,1418,,ULL
318,1419,,ULM
319,1420,AM East,UMBC
320,1421,Big South,UNC Asheville
321,1422,SoCon,UNC Greensboro
322,1423,CAA,UNC Wilmington
323,1424,MWC,UNLV
324,1425,Pac-12,USC
325,1426,,UT Arlington
326,1427,,UT San Antonio
327,1428,Pac-12,Utah
328,1429,,Utah St
329,1430,WAC,Utah Valley
330,1431,C-USA,UTEP
331,1432,,Utica
332,1433,,VA Commonwealth
333,1434,Horizon,Valparaiso
334,1435,SEC,Vanderbilt
335,1436,AM East,Vermont
336,1437,Big East,Villanova
337,1438,ACC,Virginia
338,1439,ACC,Virginia Tech
339,1440,,VMI
340,1441,,W Carolina
341,1442,,W Illinois
342,1443,,WKU
343,1444,,W Michigan
344,1445,,W Salem St
345,1446,,W Texas A&M
346,1447,NEC,Wagner
347,1448,ACC,Wake Forest
348,1449,Pac-12,Washington
349,1450,,Washington St
350,1451,,Weber St
351,1452,Big 12,West Virginia
352,1453,,WI Green Bay
353,1454,,WI Milwaukee
354,1455,,Wichita St
355,1456,CAA,William & Mary
356,1457,Big South,Winthrop
357,1458,Big Ten,Wisconsin
358,1459,SoCon,Wofford
359,1460,,Wright St
360,1461,MWC,Wyoming
361,1462,Big East,Xavier
362,1463,Ivy,Yale
363,1464,,Youngstown St
